Index,TIME,V(OUT),V(IN)
148,1.50000448e-03,3.62671225e+00,0.00000000e+00
149,1.50000704e-03,3.62669310e+00,0.00000000e+00
150,1.50001216e-03,3.62665481e+00,0.00000000e+00
151,1.50002240e-03,3.62657822e+00,0.00000000e+00
152,1.50004288e-03,3.62642506e+00,0.00000000e+00
153,1.50008384e-03,3.62611874e+00,0.00000000e+00
154,1.50016576e-03,3.62550619e+00,0.00000000e+00
155,1.50032960e-03,3.62428140e+00,0.00000000e+00
156,1.50065728e-03,3.62183306e+00,0.00000000e+00
157,1.50131264e-03,3.61694134e+00,0.00000000e+00
158,1.50262336e-03,3.60717770e+00,0.00000000e+00
159,1.50524480e-03,3.58772939e+00,0.00000000e+00
160,1.51048768e-03,3.54914649e+00,0.00000000e+00
161,1.52097344e-03,3.47321881e+00,0.00000000e+00
162,1.54194496e-03,3.32618490e+00,0.00000000e+00
163,1.56291648e-03,3.18537546e+00,0.00000000e+00
164,1.58388800e-03,3.05052700e+00,0.00000000e+00
165,1.60485952e-03,2.92138716e+00,0.00000000e+00
166,1.62583104e-03,2.79771428e+00,0.00000000e+00
167,1.64680256e-03,2.67927691e+00,0.00000000e+00
168,1.66777408e-03,2.56585343e+00,0.00000000e+00
169,1.68874560e-03,2.45723158e+00,0.00000000e+00
170,1.70971712e-03,2.35320808e+00,0.00000000e+00
171,1.73068864e-03,2.25358827e+00,0.00000000e+00
172,1.75166016e-03,2.15818573e+00,0.00000000e+00
173,1.77263168e-03,2.06682192e+00,0.00000000e+00
174,1.79360320e-03,1.97932587e+00,0.00000000e+00
175,1.81457472e-03,1.89553385e+00,0.00000000e+00
176,1.83554624e-03,1.81528905e+00,0.00000000e+00
177,1.85651776e-03,1.73844130e+00,0.00000000e+00
178,1.87748928e-03,1.66484679e+00,0.00000000e+00
179,1.89846080e-03,1.59436780e+00,0.00000000e+00
180,1.91943232e-03,1.52687245e+00,0.00000000e+00
181,1.94040384e-03,1.46223441e+00,0.00000000e+00
182,1.96137536e-03,1.40033274e+00,0.00000000e+00
183,1.98234688e-03,1.34105159e+00,0.00000000e+00
184,2.00000000e-03,1.29310261e+00,0.00000000e+00
End of Xyce(TM) Simulation
